condition,policy_name,sample_count,action_utility,mask_f1,compression_cost,generator_score,ood_generalization_score,gain_over_random,gain_over_hand_designed,oracle_gap,invalid_metric_count,episode_id,action_type,region_id,action_score,direct_mask_precision,direct_mask_recall,indirect_mask_precision,indirect_mask_recall
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,2,apply_local_damping,1,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,3,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,4,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,5,indirect_stabilize,11,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,6,apply_local_damping,2,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,7,apply_local_damping,4,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,8,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,9,apply_local_damping,11,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.0,0.0,0.0,0.1,,,,,,10,apply_local_damping,13,-0.25,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,11,indirect_stabilize,17,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,12,indirect_stabilize,16,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,13,indirect_stabilize,5,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,14,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,15,apply_local_damping,0,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,16,apply_local_damping,15,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,17,indirect_stabilize,9,0.1,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,0,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,1,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,2,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,3,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,4,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,5,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,6,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,7,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,8,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,9,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,10,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,11,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,12,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,13,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,14,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,15,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,16,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,17,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,0,apply_local_damping,5,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,1,apply_local_damping,6,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,2,apply_local_damping,7,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,3,apply_local_damping,8,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,4,apply_local_damping,9,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,5,apply_local_damping,10,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,6,apply_local_damping,11,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,7,apply_local_damping,12,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,8,apply_local_damping,13,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,9,apply_local_damping,14,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,10,apply_local_damping,15,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,11,apply_local_damping,16,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,12,apply_local_damping,17,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,13,apply_local_damping,0,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,14,apply_local_damping,1,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,15,apply_local_damping,2,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,16,apply_local_damping,3,0.2,0.0,0.0,0.0,0.0
feedback_required,hand_designed,,0.2,0.0,0.0,0.21000000000000002,,,,,,17,apply_local_damping,4,0.2,0.0,0.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,0,apply_local_damping,0,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,1,apply_local_damping,1,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,2,apply_local_damping,2,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,3,apply_local_damping,3,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,4,apply_local_damping,4,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,5,apply_local_damping,5,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,6,apply_local_damping,6,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,7,apply_local_damping,7,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,8,apply_local_damping,8,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,9,apply_local_damping,9,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,10,apply_local_damping,10,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,11,apply_local_damping,11,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,12,apply_local_damping,12,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,13,apply_local_damping,13,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,14,apply_local_damping,14,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,15,apply_local_damping,15,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,16,apply_local_damping,16,1.0,1.0,1.0,0.0,0.0
feedback_required,oracle,,1.0,0.5,0.0,0.8250000000000001,,,,,,17,apply_local_damping,17,1.0,1.0,1.0,0.0,0.0
compression_required,g1_1_generator,,0.9,0.2,0.75,0.5900000000000001,,,,,,10000,indirect_stabilize,10,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_generator,,0.9,0.25,0.75,0.6075,,,,,,10001,indirect_stabilize,11,0.9,0.0,0.0,0.3333333333333333,1.0
compression_required,g1_1_generator,,0.9,0.3333333333333333,0.75,0.6366666666666667,,,,,,10002,indirect_stabilize,12,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10003,indirect_stabilize,13,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.2,0.75,0.5900000000000001,,,,,,10004,indirect_stabilize,14,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_generator,,0.9,0.25,0.75,0.6075,,,,,,10005,indirect_stabilize,15,0.9,0.0,0.0,0.3333333333333333,1.0
